"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",과실범죄,실화,20,12,1,7,2,1,1,-,-,8,2,2,2,1,1,-,-,16,6,-,1,1,1,2,-,1,10,-,3,2,3,1,1,-,20,10,1,3,2,2,2,-,-,10,-,1,3,3,-,2,1,10,2,0,0,0,0,2,0,0,8,0,3,0,4,1,0,0
"형법범",기타형법범죄,소계,622,276,38,51,41,73,45,19,9,346,38,58,39,102,54,40,15,656,294,45,56,38,94,33,19,9,362,49,69,39,113,52,32,8,614,228,43,50,34,56,20,18,7,386,49,66,40,132,55,28,16,526,208,37,42,44,49,17,15,4,318,47,47,41,112,39,22,10
"형법범",기타형법범죄,명예,146,58,6,10,8,16,8,7,3,88,5,11,6,34,14,15,3,193,81,10,13,15,29,7,5,2,112,11,15,13,42,18,9,4,181,63,6,9,11,21,6,5,5,118,16,16,11,44,19,7,5,142,49,7,8,13,13,4,3,1,93,8,11,11,33,19,6,5
"형법범",기타형법범죄,권리행사방해,43,15,2,4,3,4,2,-,-,28,5,3,1,10,5,2,2,67,43,12,4,7,15,3,1,1,24,3,8,2,7,3,1,-,73,28,4,9,2,6,5,2,-,45,4,9,9,20,-,3,-,54,23,8,3,3,6,2,1,0,31,3,5,8,12,2,1,0
"형법범",기타형법범죄,신용업무경매,82,39,7,11,7,4,5,3,2,43,5,10,4,9,6,7,2,80,32,4,8,4,8,5,2,1,48,7,8,7,14,8,3,1,52,20,6,5,3,3,2,1,-,32,5,3,2,11,6,2,3,59,20,5,3,6,4,1,0,1,39,10,4,4,14,5,1,1
"형법범",기타형법범죄,주거침입,215,113,20,19,15,35,14,6,4,102,14,23,18,26,15,5,1,223,96,15,21,10,29,12,7,2,127,24,29,12,37,14,10,1,204,84,21,18,15,19,5,5,1,120,17,28,13,34,19,6,3,176,86,14,20,15,21,6,8,2,90,17,13,8,29,10,11,2
"형법범",기타형법범죄,비밀침해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",기타형법범죄,유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0
"형법범",기타형법범죄,교통방해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",기타형법범죄,공무방해,110,40,2,6,5,12,13,2,-,70,6,10,10,19,13,9,3,76,35,2,8,2,13,5,2,3,41,3,7,4,11,7,7,2,94,33,6,9,3,7,2,5,1,61,7,10,5,19,10,7,3,83,26,3,8,6,5,3,1,0,57,8,13,8,20,3,3,2
