"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계
"형법범",과실범죄,업무상 과실치사상,4,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-,5,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
"형법범",과실범죄,실화,69,-,1,-,-,22,1,2,25,3,1,-,-,-,2,-,-,-,-,12,66,-,-,-,1,18,2,-,25,4,2,3,-,-,5,-,-,-,-,6,72,-,-,-,-,20,-,-,34,6,4,-,-,-,2,-,-,-,-,6,88,0,0,0,0,32,2,0,29,6,1,0,0,0,6,0,0,0,0,12
"형법범",기타 형법범죄,소계,2728,-,2,-,2,438,28,49,703,233,161,26,-,2,91,2,-,-,-,991,2652,-,-,-,3,435,20,42,906,195,133,21,1,-,84,2,-,-,-,810,2396,1,3,-,2,399,25,31,881,175,101,19,1,1,75,1,-,-,-,681,2327,0,4,0,5,573,17,42,723,159,105,13,0,0,61,5,0,0,0,620
"형법범",기타 형법범죄,명예,1393,-,1,-,2,184,8,21,311,58,61,8,-,1,45,1,-,-,-,692,1340,-,-,-,1,172,5,17,397,60,56,12,-,-,32,2,-,-,-,586,1317,-,-,-,1,184,7,7,475,45,40,6,-,-,37,-,-,-,-,515,1140,0,1,0,1,221,6,16,326,49,55,5,0,0,32,2,0,0,0,426
"형법범",기타 형법범죄,권리행사 방해,147,-,-,-,-,36,1,1,53,15,5,4,-,-,1,-,-,-,-,31,148,-,-,-,-,52,3,-,54,15,2,-,-,-,-,-,-,-,-,22,167,-,-,-,-,54,1,2,56,17,-,1,-,-,4,-,-,-,-,32,141,0,0,0,0,27,0,2,75,10,5,1,0,0,0,0,0,0,0,21
"형법범",기타 형법범죄,신용업무 경매,214,-,-,-,-,17,1,3,50,34,24,11,-,-,13,-,-,-,-,61,214,-,-,-,-,8,1,8,73,32,20,3,-,-,19,-,-,-,-,50,151,-,-,-,1,18,1,6,48,18,13,2,1,-,10,-,-,-,-,33,152,0,1,0,0,29,2,3,34,21,13,0,0,0,7,1,0,0,0,41
"형법범",기타 형법범죄,주거 침입,682,-,1,-,-,190,14,18,204,64,34,1,-,1,17,1,-,-,-,137,698,-,-,-,1,176,9,13,305,54,27,4,-,-,20,-,-,-,-,89,514,-,2,-,-,119,8,6,225,62,25,1,-,-,12,1,-,-,-,53,621,0,2,0,1,252,6,10,199,45,16,3,0,0,13,1,0,0,0,73
"형법범",기타 형법범죄,비밀침해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"형법범",기타 형법범죄,유기,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"형법범",기타 형법범죄,교통방해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
